scenario,T,TECH,TYPE,F,value
S0,T0851,KKV7,BP,wood chips,8.46
S0,T0851,KKV8,BP,wood chips,14.010108303249098
S0,T0851,VF5,BP,municipal waste,10.204481546572937
S0,T0851,VF6,BP,municipal waste,20.143502454991815
S0,T0852,AMV1,BP,wood pellets,72.44532081377153
S0,T0852,AMV4,BP,wood chips,149.86407053637032
S0,T0852,ARC,BP,municipal waste,47.008226950354604
S0,T0852,ARGO5,BP,municipal waste,11.05511811023622
S0,T0852,ARGO6,BP,municipal waste,16.072488335925346
S0,T0852,KKV7,BP,wood chips,8.46
S0,T0852,KKV8,BP,wood chips,14.010108303249098
S0,T0852,VF5,BP,municipal waste,10.204481546572937
S0,T0852,VF6,BP,municipal waste,20.143502454991815
S0,T0853,AMV1,BP,wood pellets,72.44532081377153
S0,T0853,AMV4,BP,wood chips,149.86407053637032
S0,T0853,ARC,BP,municipal waste,47.008226950354604
S0,T0853,ARGO5,BP,municipal waste,11.05511811023622
S0,T0853,ARGO6,BP,municipal waste,16.072488335925346
S0,T0853,KKV7,BP,wood chips,8.46
S0,T0853,KKV8,BP,wood chips,14.010108303249098
S0,T0853,VF5,BP,municipal waste,10.204481546572937
S0,T0853,VF6,BP,municipal waste,20.143502454991815
S0,T0854,AMV1,BP,wood pellets,72.44532081377153
S0,T0854,AMV4,BP,wood chips,149.86407053637032
S0,T0854,ARC,BP,municipal waste,47.008226950354604
S0,T0854,ARGO5,BP,municipal waste,11.05511811023622
S0,T0854,ARGO6,BP,municipal waste,16.072488335925346
S0,T0854,KKV7,BP,wood chips,8.46
S0,T0854,KKV8,BP,wood chips,14.010108303249098
S0,T0854,VF5,BP,municipal waste,10.204481546572937
S0,T0854,VF6,BP,municipal waste,20.143502454991815
S0,T0855,AMV1,BP,wood pellets,72.44532081377153
S0,T0855,AMV4,BP,wood chips,149.86407053637032
S0,T0855,ARC,BP,municipal waste,47.008226950354604
S0,T0855,ARGO5,BP,municipal waste,11.05511811023622
S0,T0855,ARGO6,BP,municipal waste,16.072488335925346
S0,T0855,KKV7,BP,wood chips,8.46
S0,T0855,KKV8,BP,wood chips,14.010108303249098
S0,T0855,VF5,BP,municipal waste,10.204481546572937
S0,T0855,VF6,BP,municipal waste,20.143502454991815
S0,T0856,AMV1,BP,wood pellets,72.44532081377153
S0,T0856,AMV4,BP,wood chips,149.86407053637032
S0,T0856,ARC,BP,municipal waste,47.008226950354604
S0,T0856,ARGO5,BP,municipal waste,11.05511811023622
S0,T0856,ARGO6,BP,municipal waste,16.072488335925346
S0,T0856,KKV7,BP,wood chips,8.46
S0,T0856,KKV8,BP,wood chips,14.010108303249098
S0,T0856,VF5,BP,municipal waste,10.204481546572937
S0,T0856,VF6,BP,municipal waste,20.143502454991815
S0,T0857,AMV1,BP,wood pellets,72.44532081377153
S0,T0857,AMV4,BP,wood chips,149.86407053637032
S0,T0857,ARC,BP,municipal waste,47.008226950354604
S0,T0857,ARGO5,BP,municipal waste,11.05511811023622
S0,T0857,ARGO6,BP,municipal waste,16.072488335925346
S0,T0857,KKV7,BP,wood chips,8.46
S0,T0857,KKV8,BP,wood chips,14.010108303249098
S0,T0857,VF5,BP,municipal waste,10.204481546572937
S0,T0857,VF6,BP,municipal waste,20.143502454991815
S0,T0858,AMV1,BP,wood pellets,72.44532081377153
S0,T0858,AMV4,BP,wood chips,149.86407053637032
S0,T0858,ARC,BP,municipal waste,47.008226950354604
S0,T0858,ARGO5,BP,municipal waste,11.05511811023622
S0,T0858,ARGO6,BP,municipal waste,16.072488335925346
S0,T0858,KKV7,BP,wood chips,8.46
S0,T0858,KKV8,BP,wood chips,14.010108303249098
S0,T0858,VF5,BP,municipal waste,10.204481546572937
S0,T0858,VF6,BP,municipal waste,20.143502454991815
S0,T0859,AMV1,BP,wood pellets,72.44532081377153
S0,T0859,AMV4,BP,wood chips,149.86407053637032
S0,T0859,ARC,BP,municipal waste,47.008226950354604
S0,T0859,ARGO5,BP,municipal waste,11.05511811023622
S0,T0859,ARGO6,BP,municipal waste,16.072488335925346
S0,T0859,KKV7,BP,wood chips,8.46
S0,T0859,KKV8,BP,wood chips,14.010108303249098
S0,T0859,VF5,BP,municipal waste,10.204481546572937
S0,T0859,VF6,BP,municipal waste,20.143502454991815
S0,T0860,AMV1,BP,wood pellets,72.44532081377153
S0,T0860,AMV4,BP,wood chips,149.86407053637032
S0,T0860,ARC,BP,municipal waste,47.008226950354604
S0,T0860,ARGO5,BP,municipal waste,11.05511811023622
S0,T0860,ARGO6,BP,municipal waste,16.072488335925346
S0,T0860,KKV7,BP,wood chips,8.46
S0,T0860,KKV8,BP,wood chips,14.010108303249098
S0,T0860,VF5,BP,municipal waste,10.204481546572937
S0,T0860,VF6,BP,municipal waste,20.143502454991815
S0,T0861,AMV1,BP,wood pellets,72.44532081377153
S0,T0861,AMV4,BP,wood chips,149.86407053637032
S0,T0861,ARC,BP,municipal waste,47.008226950354604
S0,T0861,ARGO5,BP,municipal waste,11.05511811023622
S0,T0861,ARGO6,BP,municipal waste,16.072488335925346
S0,T0861,KKV7,BP,wood chips,8.46
S0,T0861,KKV8,BP,wood chips,14.010108303249098
S0,T0861,VF5,BP,municipal waste,10.204481546572937
S0,T0861,VF6,BP,municipal waste,20.143502454991815
S0,T0862,AMV1,BP,wood pellets,72.44532081377153
S0,T0862,AMV4,BP,wood chips,149.86407053637032
S0,T0862,ARC,BP,municipal waste,47.008226950354604
S0,T0862,ARGO5,BP,municipal waste,11.05511811023622
S0,T0862,ARGO6,BP,municipal waste,16.072488335925346
S0,T0862,KKV7,BP,wood chips,8.46
S0,T0862,KKV8,BP,wood chips,14.010108303249098
S0,T0862,VF5,BP,municipal waste,10.204481546572937
S0,T0862,VF6,BP,municipal waste,20.143502454991815
S0,T0863,AMV1,BP,wood pellets,72.44532081377153
S0,T0863,AMV4,BP,wood chips,149.86407053637032
S0,T0863,ARC,BP,municipal waste,47.008226950354604
S0,T0863,ARGO5,BP,municipal waste,11.05511811023622
S0,T0863,ARGO6,BP,municipal waste,16.072488335925346
S0,T0863,KKV7,BP,wood chips,8.46
S0,T0863,KKV8,BP,wood chips,14.010108303249098
S0,T0863,VF5,BP,municipal waste,10.204481546572937
S0,T0863,VF6,BP,municipal waste,20.143502454991815
S0,T0864,AMV1,BP,wood pellets,72.44532081377153
S0,T0864,AMV4,BP,wood chips,149.86407053637032
S0,T0864,ARC,BP,municipal waste,47.008226950354604
S0,T0864,ARGO5,BP,municipal waste,11.05511811023622
S0,T0864,ARGO6,BP,municipal waste,16.072488335925346
S0,T0864,KKV7,BP,wood chips,8.46
S0,T0864,KKV8,BP,wood chips,14.010108303249098
S0,T0864,VF5,BP,municipal waste,10.204481546572937
S0,T0864,VF6,BP,municipal waste,20.143502454991815
S0,T0865,AMV1,BP,wood pellets,72.44532081377153
S0,T0865,AMV4,BP,wood chips,149.86407053637032
S0,T0865,ARC,BP,municipal waste,47.008226950354604
S0,T0865,ARGO5,BP,municipal waste,11.05511811023622
S0,T0865,ARGO6,BP,municipal waste,16.072488335925346
S0,T0865,KKV7,BP,wood chips,8.46
S0,T0865,KKV8,BP,wood chips,14.010108303249098
S0,T0865,VF5,BP,municipal waste,10.204481546572937
S0,T0865,VF6,BP,municipal waste,20.143502454991815
S0,T0866,AMV1,BP,wood pellets,72.44532081377153
S0,T0866,AMV4,BP,wood chips,149.86407053637032
S0,T0866,ARC,BP,municipal waste,47.008226950354604
S0,T0866,ARGO5,BP,municipal waste,11.05511811023622
S0,T0866,ARGO6,BP,municipal waste,16.072488335925346
S0,T0866,KKV7,BP,wood chips,8.46
S0,T0866,KKV8,BP,wood chips,14.010108303249098
S0,T0866,VF5,BP,municipal waste,10.204481546572937
S0,T0866,VF6,BP,municipal waste,20.143502454991815
S0,T0867,AMV1,BP,wood pellets,71.33564407408066
S0,T0867,AMV4,BP,wood chips,149.86407053637032
S0,T0867,ARC,BP,municipal waste,47.008226950354604
S0,T0867,ARGO5,BP,municipal waste,11.05511811023622
S0,T0867,ARGO6,BP,municipal waste,16.072488335925346
S0,T0867,KKV7,BP,wood chips,8.46
S0,T0867,KKV8,BP,wood chips,14.010108303249098
S0,T0867,VF5,BP,municipal waste,10.204481546572937
S0,T0867,VF6,BP,municipal waste,20.143502454991815
S0,T0868,AMV1,BP,wood pellets,72.44532081377153
S0,T0868,AMV4,BP,wood chips,149.86407053637032
S0,T0868,ARC,BP,municipal waste,47.008226950354604
S0,T0868,ARGO5,BP,municipal waste,11.05511811023622
S0,T0868,ARGO6,BP,municipal waste,16.072488335925346
S0,T0868,KKV7,BP,wood chips,8.46
S0,T0868,KKV8,BP,wood chips,14.010108303249098
S0,T0868,VF5,BP,municipal waste,10.204481546572937
S0,T0868,VF6,BP,municipal waste,20.143502454991815
S0,T0869,AMV1,BP,wood pellets,72.44532081377153
S0,T0869,AMV4,BP,wood chips,149.86407053637032
S0,T0869,ARC,BP,municipal waste,47.008226950354604
S0,T0869,ARGO5,BP,municipal waste,11.05511811023622
S0,T0869,ARGO6,BP,municipal waste,16.072488335925346
S0,T0869,KKV7,BP,wood chips,8.46
S0,T0869,KKV8,BP,wood chips,14.010108303249098
S0,T0869,VF5,BP,municipal waste,10.204481546572937
S0,T0869,VF6,BP,municipal waste,20.143502454991815
S0,T0870,AMV1,BP,wood pellets,72.44532081377153
S0,T0870,AMV4,BP,wood chips,149.86407053637032
S0,T0870,ARC,BP,municipal waste,47.008226950354604
S0,T0870,ARGO5,BP,municipal waste,11.05511811023622
S0,T0870,ARGO6,BP,municipal waste,16.072488335925346
S0,T0870,KKV7,BP,wood chips,8.46
S0,T0870,KKV8,BP,wood chips,14.010108303249098
S0,T0870,VF5,BP,municipal waste,10.204481546572937
S0,T0870,VF6,BP,municipal waste,20.143502454991815
S0,T0871,AMV1,BP,wood pellets,72.44532081377153
S0,T0871,AMV4,BP,wood chips,149.86407053637032
S0,T0871,ARC,BP,municipal waste,47.008226950354604
S0,T0871,ARGO5,BP,municipal waste,11.05511811023622
S0,T0871,ARGO6,BP,municipal waste,16.072488335925346
S0,T0871,KKV7,BP,wood chips,8.46
S0,T0871,KKV8,BP,wood chips,14.010108303249098
S0,T0871,VF5,BP,municipal waste,10.204481546572937
S0,T0871,VF6,BP,municipal waste,20.143502454991815
S0,T0872,AMV1,BP,wood pellets,72.44532081377153
S0,T0872,AMV4,BP,wood chips,149.86407053637032
S0,T0872,ARC,BP,municipal waste,47.008226950354604
S0,T0872,ARGO5,BP,municipal waste,11.05511811023622
S0,T0872,ARGO6,BP,municipal waste,16.072488335925346
S0,T0872,KKV7,BP,wood chips,8.46
S0,T0872,KKV8,BP,wood chips,14.010108303249098
S0,T0872,VF5,BP,municipal waste,10.204481546572937
S0,T0872,VF6,BP,municipal waste,20.143502454991815
S0,T0873,AMV1,BP,wood pellets,72.44532081377153
S0,T0873,AMV4,BP,wood chips,149.86407053637032
S0,T0873,ARC,BP,municipal waste,47.008226950354604
S0,T0873,ARGO5,BP,municipal waste,11.05511811023622
S0,T0873,ARGO6,BP,municipal waste,16.072488335925346
S0,T0873,KKV7,BP,wood chips,8.46
S0,T0873,KKV8,BP,wood chips,14.010108303249098
S0,T0873,VF5,BP,municipal waste,10.204481546572937
S0,T0873,VF6,BP,municipal waste,20.143502454991815
S0,T0874,AMV1,BP,wood pellets,72.44532081377153
S0,T0874,AMV4,BP,wood chips,149.86407053637032
S0,T0874,ARC,BP,municipal waste,47.008226950354604
S0,T0874,ARGO5,BP,municipal waste,11.05511811023622
S0,T0874,ARGO6,BP,municipal waste,16.072488335925346
S0,T0874,KKV7,BP,wood chips,8.46
S0,T0874,KKV8,BP,wood chips,14.010108303249098
S0,T0874,VF5,BP,municipal waste,10.204481546572937
S0,T0874,VF6,BP,municipal waste,20.143502454991815
S0,T0875,AMV1,BP,wood pellets,72.44532081377153
S0,T0875,AMV4,BP,wood chips,149.86407053637032
S0,T0875,ARC,BP,municipal waste,47.008226950354604
S0,T0875,ARGO5,BP,municipal waste,11.05511811023622
S0,T0875,ARGO6,BP,municipal waste,16.072488335925346
S0,T0875,KKV7,BP,wood chips,8.46
S0,T0875,KKV8,BP,wood chips,14.010108303249098
S0,T0875,VF5,BP,municipal waste,10.204481546572937
S0,T0875,VF6,BP,municipal waste,20.143502454991815
S0,T0876,AMV1,BP,wood pellets,72.44532081377153
S0,T0876,AMV4,BP,wood chips,149.86407053637032
S0,T0876,ARC,BP,municipal waste,47.008226950354604
S0,T0876,ARGO5,BP,municipal waste,11.05511811023622
S0,T0876,ARGO6,BP,municipal waste,16.072488335925346
S0,T0876,KKV7,BP,wood chips,8.46
S0,T0876,KKV8,BP,wood chips,14.010108303249098
S0,T0876,VF5,BP,municipal waste,10.204481546572937
S0,T0876,VF6,BP,municipal waste,20.143502454991815
S0,T0877,AMV1,BP,wood pellets,72.44532081377153
S0,T0877,AMV4,BP,wood chips,149.86407053637032
S0,T0877,ARC,BP,municipal waste,47.008226950354604
S0,T0877,ARGO5,BP,municipal waste,11.05511811023622
S0,T0877,ARGO6,BP,municipal waste,16.072488335925346
S0,T0877,KKV7,BP,wood chips,8.46
S0,T0877,KKV8,BP,wood chips,14.010108303249098
S0,T0877,VF5,BP,municipal waste,10.204481546572937
S0,T0877,VF6,BP,municipal waste,20.143502454991815
S0,T0878,AMV1,BP,wood pellets,72.44532081377153
S0,T0878,AMV4,BP,wood chips,149.86407053637032
S0,T0878,ARC,BP,municipal waste,47.008226950354604
S0,T0878,ARGO5,BP,municipal waste,11.05511811023622
