scenario,T,TECH,TYPE,F,value
S0,T0973,FC,CO,electricity,1.0
S0,T0974,FC,CO,electricity,1.0
S0,T0975,FC,CO,electricity,1.0
S0,T0976,FC,CO,electricity,1.0
S0,T0977,FC,CO,electricity,1.0
S0,T0978,FC,CO,electricity,1.0
S0,T0979,FC,CO,electricity,1.0
S0,T0980,FC,CO,electricity,1.0
S0,T0981,FC,CO,electricity,1.0
S0,T0982,FC,CO,electricity,1.0
S0,T0983,FC,CO,electricity,1.0
S0,T0984,FC,CO,electricity,1.0
S0,T0985,FC,CO,electricity,1.0
S0,T0986,FC,CO,electricity,1.0
S0,T0987,FC,CO,electricity,1.0
S0,T0988,FC,CO,electricity,1.0
S0,T0989,FC,CO,electricity,1.0
S0,T0990,FC,CO,electricity,1.0
S0,T0991,FC,CO,electricity,1.0
S0,T0992,FC,CO,electricity,1.0
S0,T0993,FC,CO,electricity,1.0
S0,T0994,FC,CO,electricity,1.0
S0,T0995,FC,CO,electricity,1.0
S0,T0996,FC,CO,electricity,1.0
S0,T0997,FC,CO,electricity,1.0
S0,T0998,FC,CO,electricity,1.0
S0,T0999,FC,CO,electricity,1.0
S0,T1000,FC,CO,electricity,1.0
S0,T1001,FC,CO,electricity,1.0
S0,T1002,FC,CO,electricity,1.0
S0,T1003,FC,CO,electricity,1.0
S0,T1004,FC,CO,electricity,1.0
S0,T1005,FC,CO,electricity,1.0
S0,T1006,FC,CO,electricity,1.0
S0,T1007,FC,CO,electricity,1.0
S0,T1008,FC,CO,electricity,1.0
S0,T3025,FC,CO,electricity,1.0
S0,T3026,FC,CO,electricity,1.0
S0,T3027,FC,CO,electricity,1.0
S0,T3028,FC,CO,electricity,1.0
S0,T3029,FC,CO,electricity,1.0
S0,T3030,FC,CO,electricity,1.0
S0,T3031,FC,CO,electricity,1.0
S0,T3032,FC,CO,electricity,1.0
S0,T3033,FC,CO,electricity,1.0
S0,T3034,FC,CO,electricity,1.0
S0,T3035,FC,CO,electricity,1.0
S0,T3036,FC,CO,electricity,1.0
S0,T3037,FC,CO,electricity,1.0
S0,T3038,EC,CO,electricity,1.0
S0,T3039,FC,CO,electricity,1.0
S0,T3040,EC,CO,electricity,1.0
S0,T3041,EC,CO,electricity,1.0
S0,T3042,EC,CO,electricity,1.0
S0,T3043,FC,CO,electricity,1.0
S0,T3044,FC,CO,electricity,1.0
S0,T3045,FC,CO,electricity,1.0
S0,T3046,FC,CO,electricity,1.0
S0,T3047,FC,CO,electricity,1.0
S0,T3048,FC,CO,electricity,1.0
S0,T3049,FC,CO,electricity,1.0
S0,T3050,FC,CO,electricity,1.0
S0,T3051,FC,CO,electricity,1.0
S0,T3052,FC,CO,electricity,1.0
S0,T3053,FC,CO,electricity,1.0
S0,T3054,FC,CO,electricity,1.0
S0,T3055,FC,CO,electricity,1.0
S0,T3056,FC,CO,electricity,1.0
S0,T3057,FC,CO,electricity,1.0
S0,T3058,FC,CO,electricity,1.0
S0,T3059,FC,CO,electricity,1.0
S0,T3060,FC,CO,electricity,1.0
S0,T3061,EC,CO,electricity,1.0
S0,T3062,EC,CO,electricity,1.0
S0,T3063,EC,CO,electricity,1.0
S0,T3064,EC,CO,electricity,1.0
S0,T3065,EC,CO,electricity,1.0
S0,T3066,EC,CO,electricity,1.0
S0,T3067,EC,CO,electricity,1.0
S0,T3068,EC,CO,electricity,1.0
S0,T3069,FC,CO,electricity,1.0
S0,T3070,FC,CO,electricity,1.0
S0,T3071,FC,CO,electricity,1.0
S0,T3072,FC,CO,electricity,1.0
S0,T3073,FC,CO,electricity,1.0
S0,T3074,FC,CO,electricity,1.0
S0,T3075,FC,CO,electricity,1.0
S0,T3076,FC,CO,electricity,1.0
S0,T3077,FC,CO,electricity,1.0
S0,T3078,FC,CO,electricity,1.0
S0,T3079,FC,CO,electricity,1.0
S0,T3080,FC,CO,electricity,1.0
S0,T3081,FC,CO,electricity,1.0
S0,T3082,FC,CO,electricity,1.0
S0,T3083,FC,CO,electricity,1.0
S0,T3084,EC,CO,electricity,1.0
S0,T3085,EC,CO,electricity,1.0
S0,T3086,EC,CO,electricity,1.0
S0,T3087,EC,CO,electricity,1.0
S0,T3088,EC,CO,electricity,1.0
S0,T3089,FC,CO,electricity,1.0
S0,T3090,FC,CO,electricity,1.0
S0,T3091,FC,CO,electricity,1.0
S0,T3092,FC,CO,electricity,1.0
S0,T3093,FC,CO,electricity,1.0
S0,T3094,FC,CO,electricity,1.0
S0,T3095,FC,CO,electricity,1.0
S0,T3096,FC,CO,electricity,1.0
S0,T3097,FC,CO,electricity,1.0
S0,T3098,FC,CO,electricity,1.0
S0,T3099,FC,CO,electricity,1.0
S0,T3100,FC,CO,electricity,1.0
S0,T3101,FC,CO,electricity,1.0
S0,T3102,FC,CO,electricity,1.0
S0,T3103,FC,CO,electricity,1.0
S0,T3104,FC,CO,electricity,1.0
S0,T3105,FC,CO,electricity,1.0
S0,T3106,FC,CO,electricity,1.0
S0,T3107,FC,CO,electricity,1.0
S0,T3108,EC,CO,electricity,1.0
S0,T3109,EC,CO,electricity,1.0
S0,T3110,EC,CO,electricity,1.0
S0,T3111,EC,CO,electricity,1.0
S0,T3112,EC,CO,electricity,1.0
S0,T3113,FC,CO,electricity,1.0
S0,T3114,FC,CO,electricity,1.0
S0,T3115,FC,CO,electricity,1.0
S0,T3116,FC,CO,electricity,1.0
S0,T3117,FC,CO,electricity,1.0
S0,T3118,FC,CO,electricity,1.0
S0,T3119,FC,CO,electricity,1.0
S0,T3120,FC,CO,electricity,1.0
S0,T3121,FC,CO,electricity,1.0
S0,T3122,FC,CO,electricity,1.0
S0,T3123,FC,CO,electricity,1.0
S0,T3124,FC,CO,electricity,1.0
S0,T3125,FC,CO,electricity,1.0
S0,T3126,FC,CO,electricity,1.0
S0,T3127,FC,CO,electricity,1.0
S0,T3128,FC,CO,electricity,1.0
S0,T3129,FC,CO,electricity,1.0
S0,T3130,FC,CO,electricity,1.0
S0,T3131,FC,CO,electricity,1.0
S0,T3132,FC,CO,electricity,1.0
S0,T3133,FC,CO,electricity,1.0
S0,T3134,FC,CO,electricity,1.0
S0,T3135,FC,CO,electricity,1.0
