scenario,TECH,TYPE,F,value
S0,EC,CO,electricity,6.636013381937364e-05
S0,FC,CO,electricity,2.7757087122304168e-05
S0,AVV1,EX,wood pellets,0.02138430223759245
S0,AVV2,EX,wood pellets,0.0059183872234875035
S0,AMV1,BP,wood pellets,0.10223668678855459
S0,AMV4,BP,wood chips,0.2890172973894495
S0,ARC,BP,municipal waste,0.19461509172945654
S0,ARGO5,BP,municipal waste,0.058106064238801214
S0,ARGO6,BP,municipal waste,0.0652575798374229
S0,KKV7,BP,wood chips,0.02121044877945471
S0,KKV8,BP,wood chips,0.023773318990696415
S0,VF5,BP,municipal waste,0.05698863992651657
S0,VF6,BP,municipal waste,0.07659727210299509
S0,HOB_EL,HO,electricity,0.032743752320994336
S0,HOB_NG,HO,natural gas,0.02435180050948371
S0,HOB_WP,HO,wood pellets,0.010447892971421733
S0,HOB_WW,HO,wood waste,0.009259151678503868
S0,DEH,HO,excess heat,0.005342149739942849
S0,HP_AIR,HO,electricity,0.002656046314286437
S1,EC,CO,electricity,5.9453383087667154e-05
S1,FC,CO,electricity,6.088766026955368e-07
S1,HP_EHR,HR,electricity,0.00022840856345126434
S1,AVV1,EX,wood pellets,0.021338007220355223
S1,AVV2,EX,wood pellets,0.005909610449372331
S1,AMV1,BP,wood pellets,0.10201278259092925
S1,AMV4,BP,wood chips,0.28898375414193733
S1,ARC,BP,municipal waste,0.19478948430179002
S1,ARGO5,BP,municipal waste,0.058158132482433955
S1,ARGO6,BP,municipal waste,0.06531605648027199
S1,KKV7,BP,wood chips,0.021183323789864882
S1,KKV8,BP,wood chips,0.023734367393526443
S1,VF5,BP,municipal waste,0.057039706857771766
S1,VF6,BP,municipal waste,0.07666591012688657
S1,HOB_EL,HO,electricity,0.03273169139815353
S1,HOB_NG,HO,natural gas,0.024165953070594878
S1,HOB_WP,HO,wood pellets,0.010414396008500004
S1,HOB_WW,HO,wood waste,0.009265696360430228
S1,DEH,HO,excess heat,0.0053469367851131915
S1,HP_AIR,HO,electricity,0.0026557197189170535
S2,EC,CO,electricity,5.9453383087667154e-05
S2,FC,CO,electricity,6.088766026955388e-07
S2,HP_EHR,HR,electricity,0.00022840856345126434
S2,AVV1,EX,wood pellets,0.021338007220355223
S2,AVV2,EX,wood pellets,0.005909610449372331
S2,AMV1,BP,wood pellets,0.10201278259092925
S2,AMV4,BP,wood chips,0.28898375414193733
S2,ARC,BP,municipal waste,0.19478948430179002
S2,ARGO5,BP,municipal waste,0.058158132482433955
S2,ARGO6,BP,municipal waste,0.06531605648027199
S2,KKV7,BP,wood chips,0.021183323789864882
S2,KKV8,BP,wood chips,0.023734367393526443
S2,VF5,BP,municipal waste,0.057039706857771766
S2,VF6,BP,municipal waste,0.07666591012688657
S2,HOB_EL,HO,electricity,0.03273169139815353
S2,HOB_NG,HO,natural gas,0.024165953070594878
S2,HOB_WP,HO,wood pellets,0.010414396008500004
S2,HOB_WW,HO,wood waste,0.009265696360430228
S2,DEH,HO,excess heat,0.0053469367851131915
S2,HP_AIR,HO,electricity,0.0026557197189170535
S3,FC,CO,electricity,5.784186840140724e-06
S3,HP_EHR,HR,electricity,0.0002546087126957411
S3,AVV1,EX,wood pellets,0.02136862139612386
S3,AVV2,EX,wood pellets,0.005924715605187767
S3,AMV1,BP,wood pellets,0.10218934639596974
S3,AMV4,BP,wood chips,0.28904015313384956
S3,ARC,BP,municipal waste,0.1945246158229694
S3,ARGO5,BP,municipal waste,0.058168195582986304
S3,ARGO6,BP,municipal waste,0.06532735811627692
S3,KKV7,BP,wood chips,0.02118698913997554
S3,KKV8,BP,wood chips,0.023741198257797688
S3,VF5,BP,municipal waste,0.05704957643715964
S3,VF6,BP,municipal waste,0.07660487316439867
S3,HOB_EL,HO,electricity,0.0327500665432934
S3,HOB_NG,HO,natural gas,0.02417187992321638
S3,HOB_WP,HO,wood pellets,0.010421510010511722
S3,HOB_WW,HO,wood waste,0.009267299603694455
S3,DEH,HO,excess heat,0.005344321609640187
S3,HP_AIR,HO,electricity,0.0026588863574021826
S4,FC,CO,electricity,1.9822512239494873e-06
S4,HP_EHR,HR,electricity,0.00028481595021765966
S4,AVV1,EX,wood pellets,0.021367526614790938
S4,AVV2,EX,wood pellets,0.005925469763205176
S4,AMV1,BP,wood pellets,0.10207072744269916
S4,AMV4,BP,wood chips,0.2890769451021676
S4,ARC,BP,municipal waste,0.19454937689310042
S4,ARGO5,BP,municipal waste,0.058175599822106024
S4,ARGO6,BP,municipal waste,0.06533567364636522
S4,KKV7,BP,wood chips,0.02118968603528486
S4,KKV8,BP,wood chips,0.023741495824916317
S4,VF5,BP,municipal waste,0.05705683828706552
S4,VF6,BP,municipal waste,0.07661462421122005
S4,HOB_EL,HO,electricity,0.032741522105352826
S4,HOB_NG,HO,natural gas,0.024180193686955034
S4,HOB_WP,HO,wood pellets,0.010417523890789121
S4,HOB_WW,HO,wood waste,0.009268479239775172
S4,DEH,HO,excess heat,0.005345001889211074
S4,HP_AIR,HO,electricity,0.002656517343538479
