scenario,T,value
S0,T0841,9.843301269405437
S0,T0842,9.938944486928436
S0,T0843,10.058098958445617
S0,T0844,9.992576156711987
S0,T0845,9.96914059794237
S0,T0846,12.187279141798568
S0,T0847,14.67989645541396
S0,T0848,16.57013670141504
S0,T0849,15.059439665193452
S0,T0850,12.420442761674785
S0,T0851,10.354064170386229
S0,T0852,10.297598395202922
S0,T0853,10.214559355060201
S0,T0854,10.120767040298972
S0,T0855,10.072986118666803
S0,T0856,10.113565570465369
S0,T0857,10.129059178082386
S0,T0858,10.05805021104302
S0,T0859,9.985930047930195
S0,T0860,9.831380539575893
S0,T0861,9.783376483681684
S0,T0862,9.64894222248512
S0,T0863,9.473540774556954
S0,T0864,9.366709033095239
S0,T0865,9.348483645932765
S0,T0866,9.428765043705356
S0,T0867,9.461469088628247
S0,T0868,9.580514744231602
S0,T0869,9.753612436102543
S0,T0870,9.893815712445889
S0,T0871,10.117088292263935
S0,T0872,10.284004812259875
S0,T0873,10.319002552270698
S0,T0874,10.304421765898946
S0,T0875,10.242706941829006
S0,T0876,10.195069630116341
S0,T0877,10.261593052098215
S0,T0878,10.114222449993912
S0,T0879,10.22329828437162
S0,T0880,12.995834889105113
S0,T0881,17.595356209149756
S0,T0882,17.8580181388934
S0,T0883,13.140544126041666
S0,T0884,14.49643931855046
S0,T0885,15.702104973039772
S0,T0886,15.598893648263662
S0,T0887,14.630570110944264
S0,T0888,14.678885921762717
S0,T0889,14.392091728846726
S0,T0890,13.279156726200624
S0,T0891,12.459680942328193
S0,T0892,12.48339965759808
S0,T0893,12.845681939747024
S0,T0894,16.91394025624391
S0,T0895,19.144472036888526
S0,T0896,21.33721361834957
S0,T0897,18.649964749013122
S0,T0898,17.06374190688041
S0,T0899,16.297043899385145
S0,T0900,15.944279052144209
S0,T0901,15.301913084857278
S0,T0902,14.69335649093006
S0,T0903,14.514503822565612
S0,T0904,15.985796166634877
S0,T0905,16.779006226508386
S0,T0906,16.56087488481331
S0,T0907,15.272071570395697
S0,T0908,9.905164645954411
S0,T0909,9.829562830578327
S0,T0910,9.669714503081034
S0,T0911,9.575094103181819
S0,T0912,9.373623069672618
S0,T0913,9.316480472924782
S0,T0914,9.246712431960903
S0,T0915,9.200692484147726
S0,T0916,9.188716521842531
S0,T0917,9.160246398754735
S0,T0918,9.150332172743505
S0,T0919,9.187014078085769
S0,T0920,9.251338638861606
S0,T0921,9.30680926759605
S0,T0922,9.333949463622835
S0,T0923,9.344910328564664
S0,T0924,9.335806152246349
S0,T0925,9.363300973739854
S0,T0926,9.428536762815206
S0,T0927,9.490673123664097
S0,T0928,9.61545664451231
S0,T0929,9.896932528409767
S0,T0930,13.958236125050055
S0,T0931,9.850107813630952
S0,T0932,9.282841771179653
S0,T0933,9.153197887792883
S0,T0934,9.0670407851921
S0,T0935,8.882885965113637
S0,T0936,9.025307309991883
S0,T0937,8.930708495161662
S0,T0938,8.804431250900299
S0,T0939,8.189165440533685
S0,T0940,7.771452391853355
S0,T0941,6.906043004621211
S0,T0942,6.716291872709686
S0,T0943,7.027161356227002
S0,T0944,7.644116987560876
S0,T0945,8.131136694272186
S0,T0946,8.322366293501082
S0,T0947,8.320260153279897
S0,T0948,8.307323284601596
S0,T0949,8.311123438063447
S0,T0950,7.917586380033143
S0,T0951,7.902968571534767
S0,T0952,8.316605085685877
S0,T0953,8.793615537790178
S0,T0954,8.8383810312987
S0,T0955,7.9339995578118225
S0,T0956,6.735958701593614
S0,T0957,6.534410014533279
S0,T0958,6.017257837050189
S0,T0959,5.647085903839962
S0,T0960,4.9409725144399355
S0,T0961,4.904802637568317
S0,T0962,4.947597169669913
S0,T0963,4.950047720181277
S0,T0964,5.47685046645901
S0,T0965,5.684864631433306
S0,T0966,8.158848188537608
S0,T0967,9.280944766835768
S0,T0968,10.415580018371887
S0,T0969,9.181839173394886
S0,T0970,9.009285488672889
S0,T0971,9.03296194653409
S0,T0972,8.840479270416665
S0,T0973,8.86519434193723
S0,T0974,8.92060869553842
S0,T0975,8.942480240572241
S0,T0976,9.107822640589827
S0,T0977,9.312224992537201
S0,T0978,9.352810240777869
S0,T0979,9.162522868012715
S0,T0980,9.123138650308443
S0,T0981,8.987782384648268
S0,T0982,8.71169344871618
S0,T0983,7.069208537275432
S0,T0984,8.593289881226326
S0,T0985,7.0126341843384745
S0,T0986,5.7294129455066285
S0,T0987,5.712088174981736
S0,T0988,5.706793091714691
S0,T0989,6.093474321812771
S0,T0990,9.06957054521645
S0,T0991,9.251777583021509
S0,T0992,9.397977331439394
S0,T0993,9.190981674413555
S0,T0994,9.108998002140828
S0,T0995,9.1028058041829
S0,T0996,9.065139504919507
S0,T0997,9.041548845930736
S0,T0998,9.11437441181074
S0,T0999,9.107410422366748
S0,T1000,9.321386642263935
S0,T1001,9.409118071375135
S0,T1002,9.437152061220914
S0,T1003,9.409729324648268
S0,T1004,9.152851883616748
S0,T1005,9.01056334733428
S0,T1006,8.864190765852948
S0,T1007,7.582272311260822
S0,T1008,8.626222481356196
S0,T3025,9.8546162929297
S0,T3026,10.075475889251939
S0,T3027,10.093860450504755
S0,T3028,10.00986048444646
S0,T3029,11.365454581617465
S0,T3030,12.214005080205782
S0,T3031,12.248531502149113
S0,T3032,11.187292397996623
S0,T3033,10.614606349485866
S0,T3034,10.361182867145986
S0,T3035,9.713066668303103
S0,T3036,9.559666107531275
S0,T3037,9.584021982795223
S0,T3038,9.811714862479986
S0,T3039,10.026944133864149
S0,T3040,10.568372796835126
S0,T3041,12.309225829582187
S0,T3042,17.765718693065423
S0,T3043,18.205851496997123
S0,T3044,14.34512393128534
S0,T3045,12.413522607234176
S0,T3046,11.768282906177761
S0,T3047,11.230272851023269
S0,T3048,10.409144823884791
S0,T3049,10.51346060174756
S0,T3050,10.429975350119465
S0,T3051,10.480573224277585
S0,T3052,10.919779905736805
S0,T3053,12.059140877952217
S0,T3054,13.011446436663123
S0,T3055,12.284832637127222
S0,T3056,11.28683332827308
S0,T3057,10.43726672655179
S0,T3058,10.013282797535027
S0,T3059,9.71674399803853
S0,T3060,9.216290285376534
S0,T3061,8.975463857556292
S0,T3062,9.289688863656494
S0,T3063,10.08162471196335
S0,T3064,10.889990892746436
S0,T3065,11.96751895660558
S0,T3066,14.45238102308669
S0,T3067,15.877628165429071
S0,T3068,13.15259120374531
S0,T3069,12.854420341380411
S0,T3070,11.715302239979984
S0,T3071,10.80892638460658
S0,T3072,10.833059515627346
S0,T3073,10.704027861149612
S0,T3074,10.895805762258485
S0,T3075,11.140460994834037
S0,T3076,11.104092408194203
S0,T3077,10.895176414220339
S0,T3078,11.000537234612954
S0,T3079,11.070146401984147
S0,T3080,10.778029153043102
S0,T3081,10.374002584017216
S0,T3082,10.379247219113823
S0,T3083,10.264970204416029
S0,T3084,9.859549967008919
S0,T3085,9.701548381406367
S0,T3086,9.22343215462596
S0,T3087,9.516933358900173
S0,T3088,11.059195689606144
S0,T3089,12.788775253731112
S0,T3090,15.227004441315334
S0,T3091,14.339925421190863
S0,T3092,12.954248760304063
S0,T3093,12.298790037624473
S0,T3094,11.100253718007803
S0,T3095,10.385666903553382
S0,T3096,10.045631618767032
S0,T3097,9.863519800888037
S0,T3098,9.602156912594749
S0,T3099,9.175357710075552
S0,T3100,9.117718402892619
S0,T3101,8.95974395237367
S0,T3102,8.448215659100818
S0,T3103,8.865609136909834
S0,T3104,8.746889847282016
S0,T3105,8.437817087322887
S0,T3106,8.40503073336884
S0,T3107,8.173773651620634
S0,T3108,6.902058020718355
S0,T3109,6.7566328957028725
S0,T3110,6.827163305353604
S0,T3111,6.719039297825737
S0,T3112,6.988339118628932
S0,T3113,8.077624192927917
S0,T3114,8.690048412337132
S0,T3115,8.779611129679218
S0,T3116,8.861935282555116
S0,T3117,8.7941721949325
S0,T3118,7.662739549788828
S0,T3119,6.669962688057964
S0,T3120,5.828324057205846
S0,T3121,5.363663902207085
S0,T3122,5.4079095671612585
S0,T3123,5.335076740391999
S0,T3124,6.242942236493064
S0,T3125,9.858582957150114
S0,T3126,10.780980588032575
S0,T3127,11.330046703475972
S0,T3128,10.723147362974982
S0,T3129,10.190633196627447
S0,T3130,9.912355681790315
S0,T3131,9.266114866790314
S0,T3132,8.640155284645777
S0,T3133,7.306897864282884
S0,T3134,7.124626540485509
S0,T3135,7.152069868578772
S0,T3136,8.516136197227521
S0,T3137,9.699960494171414
S0,T3138,10.749693241065149
S0,T3139,10.836760227061555
S0,T3140,11.278294147852986
S0,T3141,10.788170352511148
S0,T3142,10.22135842641194
S0,T3143,10.52828048921848
S0,T3144,9.918190077579267
S0,T3145,9.649421269544217
S0,T3146,9.38045661664231
S0,T3147,9.354415807541491
S0,T3148,9.94237655135435
S0,T3149,11.932056850839114
S0,T3150,13.700196996342582
S0,T3151,11.996845180019818
S0,T3152,11.22102167454174
S0,T3153,10.839535094394972
S0,T3154,10.554145062615186
S0,T3155,10.038987198454917
S0,T3156,9.563618708386178
S0,T3157,9.293873089588185
S0,T3158,9.306126504692841
S0,T3159,9.34507378944761
S0,T3160,10.47246402584407
S0,T3161,11.450721853050533
S0,T3162,12.121053557226901
S0,T3163,12.382735043008424
S0,T3164,11.872208632360664
S0,T3165,11.608054036063288
S0,T3166,11.179302195566017
S0,T3167,11.192261530421106
S0,T3168,10.80023031430456
S0,T3169,10.545333910714021
S0,T3170,10.635080464930024
S0,T3171,10.551852150128191
S0,T3172,11.510489520896705
S0,T3173,14.026294706391507
S0,T3174,17.034230847761332
S0,T3175,16.881536413204113
S0,T3176,14.989023873612211
S0,T3177,14.949396089058089
S0,T3178,14.512438456393982
S0,T3179,14.065364170640327
S0,T3180,13.579215619444515
S0,T3181,13.161626436604534
S0,T3182,13.164363456001363
S0,T3183,13.002303678916894
S0,T3184,14.731869616968666
S0,T3185,16.452310350949965
S0,T3186,16.66241009819916
S0,T3187,14.292571742022542
S0,T3188,13.48065235573322
S0,T3189,11.656333742387293
S0,T3190,10.466164498799232
S0,T3191,9.877577304298365
S0,T3192,9.693986107429405
S0,T5209,10.02111678426416
S0,T5210,10.117843534050605
S0,T5211,10.453596276187326
S0,T5212,11.37345368466748
S0,T5213,12.410308682663072
S0,T5214,14.162325349878135
S0,T5215,14.760151378946148
S0,T5216,14.719558331710191
S0,T5217,12.608921470156686
S0,T5218,12.047540780500814
S0,T5219,11.90691066428041
S0,T5220,12.562926119662258
S0,T5221,12.453877171193712
S0,T5222,12.26342763233229
S0,T5223,13.783462737505225
S0,T5224,15.398643236507661
S0,T5225,16.356840984728994
S0,T5226,18.450479908477835
S0,T5227,16.546133865150882
S0,T5228,14.95641402187384
S0,T5229,14.499566870170034
S0,T5230,13.479872417191274
S0,T5231,12.820997567893453
S0,T5232,12.05606258865541
S0,T5233,11.677877142712976
S0,T5234,11.346977378588093
S0,T5235,11.284709817522634
S0,T5236,12.06643230872737
S0,T5237,13.974262465194988
S0,T5238,15.509740084182337
S0,T5239,15.19427385920903
S0,T5240,14.955123867011958
S0,T5241,15.388521505250118
S0,T5242,15.096606255326718
S0,T5243,12.999317190611073
S0,T5244,12.796625155018571
S0,T5245,12.588940799300142
S0,T5246,12.888397082469824
S0,T5247,13.776634995121867
S0,T5248,14.907559693443595
S0,T5249,15.807533393335074
S0,T5250,16.97029045327356
S0,T5251,15.790266157371171
S0,T5252,15.142157614087745
S0,T5253,14.605033378040275
S0,T5254,13.179121532464602
S0,T5255,13.692901368829505
S0,T5256,12.466897136976556
S0,T5257,12.037164163199861
S0,T5258,11.705752362207523
S0,T5259,11.574066782447192
S0,T5260,11.709664868040274
S0,T5261,11.716913561174561
S0,T5262,12.389168972147749
S0,T5263,12.798124744032034
S0,T5264,13.16245141634169
S0,T5265,12.395381482823238
S0,T5266,11.90199970313835
S0,T5267,11.27937604738916
S0,T5268,10.995796658006036
S0,T5269,11.054709757482012
S0,T5270,11.736033256771705
S0,T5271,12.044029269347726
S0,T5272,13.236635616172821
S0,T5273,14.417779554002438
S0,T5274,14.771952928042598
S0,T5275,14.748143191349815
S0,T5276,14.712015303604343
S0,T5277,14.029648360052809
S0,T5278,12.521781994912374
S0,T5279,12.279007459885099
S0,T5280,11.935659056371867
S0,T5281,11.59294782562384
S0,T5282,10.969115133371055
S0,T5283,10.849983943773214
S0,T5284,10.859188653718665
S0,T5285,10.661342651224468
S0,T5286,10.722886044984913
S0,T5287,11.014808020658661
S0,T5288,11.048360389917017
S0,T5289,11.541909616183265
S0,T5290,11.27873650071669
S0,T5291,10.96951332911618
S0,T5292,10.819418691516947
S0,T5293,10.907445128563719
S0,T5294,11.100596258909588
S0,T5295,12.00635024408078
S0,T5296,12.534012930525767
S0,T5297,13.986175650350512
S0,T5298,14.818828675305246
S0,T5299,14.79931614935295
S0,T5300,14.68708937452066
S0,T5301,13.57842270733229
S0,T5302,10.9745802299263
S0,T5303,12.065457830300604
S0,T5304,11.71279231814357
S0,T5305,11.602417466819873
S0,T5306,10.989732510832175
S0,T5307,11.149282615937212
S0,T5308,11.45832222450151
S0,T5309,14.682779790399259
S0,T5310,15.888946485513582
S0,T5311,17.72329144303331
S0,T5312,16.98435175704852
S0,T5313,16.92302392943129
S0,T5314,16.913136659350627
S0,T5315,16.957699976595872
S0,T5316,17.24335152740657
S0,T5317,16.771714733907846
S0,T5318,15.869798973907267
S0,T5319,15.48597990896994
S0,T5320,15.2338601049942
S0,T5321,16.158916681349236
S0,T5322,17.47467417257138
S0,T5323,15.84094761242398
S0,T5324,15.011404356905757
S0,T5325,14.422691470777046
S0,T5326,12.010249315271007
S0,T5327,12.927285374053506
S0,T5328,12.548078962486073
S0,T5329,12.032665777397867
S0,T5330,11.729033544087164
S0,T5331,11.84379081262941
S0,T5332,12.27130313674269
S0,T5333,13.782258678236422
S0,T5334,15.380559192033427
S0,T5335,17.388347508908428
S0,T5336,17.143137647668873
S0,T5337,17.2660633097435
S0,T5338,17.233052244086583
S0,T5339,17.185038351265668
S0,T5340,16.14968282909761
S0,T5341,16.42169625079097
S0,T5342,16.433504273483635
S0,T5343,15.198663914843896
S0,T5344,16.281836194896123
S0,T5345,15.831563370831592
S0,T5346,15.875740607896358
S0,T5347,14.535664341969014
S0,T5348,14.254188763742457
S0,T5349,13.129355975906455
S0,T5350,11.45442683472319
S0,T5351,10.715451136475744
S0,T5352,10.486399558552693
S0,T5353,10.47063294734738
S0,T5354,10.665758994694755
S0,T5355,11.119080754041319
S0,T5356,12.135622407880689
S0,T5357,13.420046134554319
S0,T5358,17.682345768356548
S0,T5359,18.457833370558845
S0,T5360,18.712908602078112
S0,T5361,19.351271439739442
S0,T5362,19.294996314414462
S0,T5363,19.24110567586235
S0,T5364,18.585259306975978
S0,T5365,19.187395346218082
S0,T5366,18.015337781382314
S0,T5367,18.308578869297236
S0,T5368,17.96100918325267
S0,T5369,18.055296648663536
S0,T5370,18.282920272411214
S0,T5371,15.955293971067201
S0,T5372,14.89621286571321
S0,T5373,14.12755708364032
S0,T5374,12.33518886158078
S0,T5375,12.30363389568013
