T0001,2.6
T0002,1.7
T0003,1.4
T0004,2.1
T0005,2.2
T0006,2.8
T0007,4.2
T0008,5
T0009,4.9
T0010,5
T0011,5.1
T0012,5.3
T0013,5.5
T0014,5.5
T0015,5.4
T0016,5.2
T0017,5
T0018,4.7
T0019,4.3
T0020,3.9
T0021,3.3
T0022,2.7
T0023,1.6
T0024,1.5
T0025,1.5
T0026,1.4
T0027,1.4
T0028,1.3
T0029,1.4
T0030,1.3
T0031,1.4
T0032,1.7
T0033,1.9
T0034,2.4
T0035,2.4
T0036,2.2
T0037,2
T0038,2.2
T0039,2.2
T0040,2
T0041,1.9
T0042,2
T0043,2.1
T0044,2.5
T0045,2.5
T0046,2
T0047,1.6
T0048,2.1
T0049,3
T0050,3.6
T0051,4
T0052,4.4
T0053,4.7
T0054,5.1
T0055,5.2
T0056,4.9
T0057,5
T0058,5.1
T0059,5.6
T0060,6.1
T0061,6.4
T0062,6.7
T0063,6.5
T0064,6.5
T0065,6.1
T0066,5.6
T0067,5.1
T0068,4.5
T0069,4.9
T0070,4.6
T0071,4.2
T0072,3.9
T0073,4
T0074,4.3
T0075,4.6
T0076,5
T0077,5.4
T0078,4.8
T0079,5
T0080,5.2
T0081,3.4
T0082,2.3
T0083,1.4
T0084,3.3
T0085,4.6
T0086,4.9
T0087,5.1
T0088,5.3
T0089,4.9
T0090,4.8
T0091,4.5
T0092,4.3
T0093,4.1
T0094,3.7
T0095,3.1
T0096,2.1
T0097,0
T0098,-0.1
T0099,0.2
T0100,0.3
T0101,0.5
T0102,-0.8
T0103,-1
T0104,-0.6
T0105,0.6
T0106,0.8
T0107,1.4
T0108,3
T0109,3.6
T0110,4.1
T0111,4.2
T0112,4.2
T0113,3.8
T0114,3.9
T0115,4.3
T0116,4.7
T0117,4.9
T0118,5.4
T0119,5.4
T0120,5.4
T0121,5.3
T0122,5.2
T0123,5.2
T0124,5.2
T0125,5.4
T0126,5.5
T0127,5.5
T0128,5.6
T0129,5.7
T0130,5.8
T0131,5.9
T0132,6.1
T0133,6.3
T0134,6.5
T0135,6.3
T0136,6.3
T0137,6.1
T0138,6
T0139,5.9
T0140,5.8
T0141,5.6
T0142,5.4
T0143,5.2
T0144,4.9
T0145,4.9
T0146,4.9
T0147,4.8
T0148,4.6
T0149,4.5
T0150,4.2
T0151,4.1
T0152,4
T0153,3.9
T0154,3.9
T0155,4.2
T0156,4.9
T0157,5.8
T0158,6.4
T0159,6.7
T0160,7
T0161,6.7
T0162,6.6
T0163,6.1
T0164,5.5
T0165,5.3
T0166,5.3
T0167,5.5
T0168,5.8
T0169,5.8
T0170,6.1
T0171,6.1
T0172,6.1
T0173,6.4
T0174,6.2
T0175,6.4
T0176,6.7
T0177,6.9
T0178,7.2
T0179,7.6
T0180,7.9
T0181,8.3
T0182,8.5
T0183,8.7
T0184,8.3
T0185,7.7
T0186,7.6
T0187,7.1
T0188,5.6
T0189,5.3
T0190,4.8
T0191,4.2
T0192,4.4
T0193,4.3
T0194,4.1
T0195,3.2
T0196,2.6
T0197,2
T0198,1.9
T0199,2.8
T0200,3.5
T0201,3.9
T0202,4.8
T0203,5.2
T0204,5.2
T0205,5.2
T0206,5.3
T0207,5.4
T0208,6
T0209,6.6
T0210,6.9
T0211,7.3
T0212,7.8
T0213,8.1
T0214,7.7
T0215,7.3
T0216,7.4
T0217,7.6
T0218,7
T0219,6.6
T0220,6.1
T0221,6.1
T0222,5.9
T0223,6.4
T0224,6.7
T0225,6.9
T0226,6.9
T0227,6.8
T0228,7
T0229,7.1
T0230,7
T0231,7.1
T0232,7
T0233,6.3
T0234,5.3
T0235,5
T0236,5.1
T0237,5.5
T0238,5.8
T0239,5.4
T0240,5.2
T0241,5
T0242,4.8
T0243,4.5
T0244,4
T0245,4.1
T0246,4.3
T0247,4.7
T0248,4.6
T0249,4.3
T0250,3.9
T0251,4.3
T0252,4.6
T0253,5
T0254,5.5
T0255,5.7
T0256,5.4
T0257,5.3
T0258,5.2
T0259,5.3
T0260,5.5
T0261,5.6
T0262,5.8
T0263,5.9
T0264,6
T0265,6.1
T0266,6.1
T0267,6.1
T0268,6.2
T0269,6
T0270,5.9
T0271,6
T0272,6
T0273,6.1
T0274,6.1
T0275,6.2
T0276,6.2
T0277,6.2
T0278,6.2
T0279,6
T0280,5.7
T0281,5.6
T0282,5.2
T0283,4.9
T0284,4.8
T0285,4.7
T0286,4.7
T0287,5
T0288,5.4
T0289,5.8
T0290,5.5
T0291,5.7
T0292,4.9
T0293,4.7
T0294,5.4
T0295,5.2
T0296,4.6
T0297,4.5
T0298,4.6
T0299,5
T0300,5.5
T0301,5.7
T0302,5.7
T0303,5.8
T0304,5.7
T0305,5.4
T0306,5
T0307,4.9
T0308,5.1
T0309,5.2
T0310,5
T0311,4.9
T0312,5
T0313,5
T0314,5.1
T0315,5.1
T0316,5.1
T0317,4.9
T0318,4.9
T0319,5
T0320,5.2
T0321,5.3
T0322,5.4
T0323,5.8
T0324,6.1
T0325,6.9
T0326,7.9
T0327,7.8
T0328,6.9
T0329,6.2
T0330,6.4
T0331,6.2
T0332,6.7
T0333,7
T0334,7.4
T0335,7.6
T0336,7.8
T0337,8.5
T0338,8.9
T0339,8.9
T0340,8.9
T0341,9.7
T0342,10.2
T0343,10.1
T0344,10.6
T0345,10.7
T0346,10.7
T0347,10.7
T0348,11
T0349,11.4
T0350,10.9
T0351,10.1
T0352,10.1
T0353,9.1
T0354,10
T0355,9.8
T0356,9.1
T0357,8.9
T0358,7.5
T0359,6
T0360,5.2
T0361,5.1
T0362,5.5
T0363,5.9
T0364,5.7
T0365,5.4
T0366,5.4
T0367,5.8
T0368,6
T0369,6.2
T0370,6.4
T0371,7
T0372,7.4
T0373,7.6
T0374,7.6
T0375,7
T0376,6.6
T0377,6.1
T0378,4.6
T0379,5
T0380,4.9
T0381,4.4
T0382,4.8
T0383,5.1
T0384,5.3
T0385,5.5
T0386,5.6
T0387,5.5
T0388,5.4
T0389,5.3
T0390,5.2
T0391,5.2
T0392,5.2
T0393,5.4
T0394,5.6
T0395,6
T0396,6.3
T0397,6.5
T0398,6.6
T0399,6.4
T0400,6.2
T0401,6
T0402,5.5
T0403,5.6
T0404,5.5
T0405,5.4
T0406,5.6
T0407,5.7
T0408,5.6
T0409,5.6
T0410,6
T0411,6.8
T0412,7
T0413,6.6
T0414,6
T0415,5.9
T0416,5.9
T0417,5.8
T0418,5.5
T0419,5.6
T0420,5.9
T0421,5.9
T0422,6
T0423,6
T0424,6.1
T0425,6
T0426,5.7
T0427,5.5
T0428,5.4
T0429,5.2
T0430,4.7
T0431,4.6
T0432,4.3
T0433,3.8
T0434,3.8
T0435,3.5
T0436,3.3
T0437,2.9
T0438,2.6
T0439,2.7
T0440,3.4
T0441,4.1
T0442,3.4
T0443,4.5
T0444,5.6
T0445,6.3
T0446,6.9
T0447,6.9
T0448,6.3
T0449,4.7
T0450,3.3
T0451,2.3
T0452,2
T0453,1.9
T0454,1.4
T0455,1.1
T0456,0.4
T0457,-0.6
T0458,0.2
T0459,0.6
T0460,1.5
T0461,2.4
T0462,3.2
T0463,3.9
T0464,4
T0465,4.2
T0466,4.4
T0467,4.8
T0468,5.4
T0469,6
T0470,6.7
T0471,6.9
T0472,6.5
T0473,6
T0474,6
T0475,6.2
T0476,6.6
T0477,6.6
T0478,6.5
T0479,6.5
T0480,6.4
T0481,6.4
T0482,6.3
T0483,6.2
T0484,6.1
T0485,6.1
T0486,6.2
T0487,6.2
T0488,6.2
T0489,6.4
T0490,6.8
T0491,7
T0492,7.3
T0493,7.4
T0494,7.4
T0495,7.3
T0496,7.5
T0497,7.5
T0498,7.2
T0499,7.4
T0500,7.5
T0501,7.2
T0502,6.9
T0503,6.7
T0504,6.7
T0505,6.5
T0506,6.3
T0507,5.8
T0508,5.9
T0509,6.1
T0510,6
T0511,5.9
T0512,6
T0513,6
T0514,6
T0515,6.5
T0516,7.3
T0517,8.2
T0518,8.1
T0519,7.8
T0520,6.9
T0521,5.5
T0522,4.9
T0523,3.4
T0524,2.7
T0525,1.8
T0526,0.5
T0527,0.1
T0528,-0.8
T0529,-1.2
T0530,-1.2
T0531,-1.5
T0532,0.3
T0533,0.7
T0534,2.1
T0535,3.2
T0536,3.6
T0537,4.2
T0538,4.7
T0539,5.2
T0540,5.3
T0541,5.4
T0542,5.6
T0543,5.8
T0544,5.8
T0545,5.5
T0546,5.5
T0547,5.6
T0548,5.5
T0549,5.4
T0550,5.4
T0551,5.5
T0552,5.5
T0553,5.6
T0554,5.6
T0555,5.5
T0556,5.4
T0557,5.4
T0558,5.5
T0559,5.6
T0560,5.6
T0561,5.6
T0562,5.9
T0563,6.3
T0564,6.6
T0565,7
T0566,7.3
T0567,7.3
T0568,7.1
T0569,6.6
T0570,6.5
T0571,6.4
T0572,6.4
T0573,6.4
