scenario,TECH,TYPE,F,value
S0,EC,CO,electricity,0.28273809523809523
S0,FC,CO,electricity,0.7172619047619048
S1,EC,CO,electricity,0.2518606967697724
S1,FC,CO,electricity,0.042030847486599396
S1,HP_EHR,HR,electricity,0.7061084557436276
S2,EC,CO,electricity,0.2518606967697724
S2,FC,CO,electricity,0.04203084748659944
S2,HP_EHR,HR,electricity,0.7061084557436277
S3,FC,CO,electricity,0.3372382496870375
S3,HP_EHR,HR,electricity,0.6627617503129619
S4,EC,CO,electricity,0.2619047619047619
S4,FC,CO,electricity,0.5002253227170013
S4,HP_EHR,HR,electricity,0.2378699153782371
