scenario,TECH,TYPE,F,value
S0,AVV1,EX,wood pellets,0.01146538534113893
S0,AVV2,EX,wood pellets,0.0006062823686899818
S0,AMV1,BP,wood pellets,0.09267942185356982
S0,AMV4,BP,wood chips,0.3021786172518822
S0,ARC,BP,municipal waste,0.19119197675974667
S0,ARGO5,BP,municipal waste,0.046092185558244125
S0,ARGO6,BP,municipal waste,0.06326226907934164
S0,KKV7,BP,wood chips,0.019231002737939474
S0,KKV8,BP,wood chips,0.019453696203494623
S0,VF5,BP,municipal waste,0.06243107319735506
S0,VF6,BP,municipal waste,0.07814422124522855
S0,HOB_EL,HO,electricity,0.040820960272416426
S0,HOB_NG,HO,natural gas,0.03158550883964799
S0,HOB_WP,HO,wood pellets,0.013288307349035132
S0,HOB_WW,HO,wood waste,0.011776389137201526
S0,DEH,HO,excess heat,0.006727220032994382
S0,HP_AIR,HO,electricity,0.009065482772078104
S1,HP_EHR,HR,electricity,0.0563634599036486
S1,AVV1,EX,wood pellets,0.009739670596471022
S1,AVV2,EX,wood pellets,0.0002482151776956859
S1,AMV1,BP,wood pellets,0.0788137074142101
S1,AMV4,BP,wood chips,0.28514433561023556
S1,ARC,BP,municipal waste,0.19119197675974667
S1,ARGO5,BP,municipal waste,0.046092185558244125
S1,ARGO6,BP,municipal waste,0.06326226907934164
S1,KKV7,BP,wood chips,0.016154219812039454
S1,KKV8,BP,wood chips,0.01732644907758373
S1,VF5,BP,municipal waste,0.06243107319735506
S1,VF6,BP,municipal waste,0.07814422124522855
S1,HOB_EL,HO,electricity,0.0381458625756839
S1,HOB_NG,HO,natural gas,0.01891035284690632
S1,HOB_WP,HO,wood pellets,0.011141828487355565
S1,HOB_WW,HO,wood waste,0.011498423824310872
S1,DEH,HO,excess heat,0.006727220032994382
S1,HP_AIR,HO,electricity,0.008664528800953007
S2,HP_EHR,HR,electricity,0.0563634599036486
S2,AVV1,EX,wood pellets,0.009739670596471022
S2,AVV2,EX,wood pellets,0.0002482151776956859
S2,AMV1,BP,wood pellets,0.07881370741421008
S2,AMV4,BP,wood chips,0.28514433561023556
S2,ARC,BP,municipal waste,0.19119197675974667
S2,ARGO5,BP,municipal waste,0.046092185558244125
S2,ARGO6,BP,municipal waste,0.06326226907934164
S2,KKV7,BP,wood chips,0.016154219812039454
S2,KKV8,BP,wood chips,0.01732644907758373
S2,VF5,BP,municipal waste,0.06243107319735506
S2,VF6,BP,municipal waste,0.07814422124522855
S2,HOB_EL,HO,electricity,0.0381458625756839
S2,HOB_NG,HO,natural gas,0.01891035284690632
S2,HOB_WP,HO,wood pellets,0.011141828487355565
S2,HOB_WW,HO,wood waste,0.011498423824310872
S2,DEH,HO,excess heat,0.006727220032994382
S2,HP_AIR,HO,electricity,0.008664528800953007
S3,HP_EHR,HR,electricity,0.05228250156108071
S3,AVV1,EX,wood pellets,0.01146538534113893
S3,AVV2,EX,wood pellets,0.0006062823686899821
S3,AMV1,BP,wood pellets,0.08774673334227097
S3,AMV4,BP,wood chips,0.2903170268601655
S3,ARC,BP,municipal waste,0.17263232937578296
S3,ARGO5,BP,municipal waste,0.046092185558244125
S3,ARGO6,BP,municipal waste,0.06326226907934164
S3,KKV7,BP,wood chips,0.018445841896569705
S3,KKV8,BP,wood chips,0.0189817357503517
S3,VF5,BP,municipal waste,0.062384229321420424
S3,VF6,BP,municipal waste,0.07692197121934682
S3,HOB_EL,HO,electricity,0.0393045723889402
S3,HOB_NG,HO,natural gas,0.019855864034775444
S3,HOB_WP,HO,wood pellets,0.012687333634591885
S3,HOB_WW,HO,wood waste,0.011498423824310872
S3,DEH,HO,excess heat,0.006605248827870517
S3,HP_AIR,HO,electricity,0.008910065615110102
S4,HP_EHR,HR,electricity,0.019089194365915513
S4,AVV1,EX,wood pellets,0.01146538534113893
S4,AVV2,EX,wood pellets,0.0006062823686899821
S4,AMV1,BP,wood pellets,0.08867168350962827
S4,AMV4,BP,wood chips,0.2981366597077931
S4,ARC,BP,municipal waste,0.1906772335023281
S4,ARGO5,BP,municipal waste,0.046092185558244125
S4,ARGO6,BP,municipal waste,0.06326226907934164
S4,KKV7,BP,wood chips,0.018991198185296113
S4,KKV8,BP,wood chips,0.019108959201868315
S4,VF5,BP,municipal waste,0.06242524052491027
S4,VF6,BP,municipal waste,0.07814422124522855
S4,HOB_EL,HO,electricity,0.03956881043469748
S4,HOB_NG,HO,natural gas,0.023839346167284208
S4,HOB_WP,HO,wood pellets,0.012812843550928295
S4,HOB_WW,HO,wood waste,0.011545797579451546
S4,DEH,HO,excess heat,0.006622807677330322
S4,HP_AIR,HO,electricity,0.00893988199992973
